TCP SRC PORT,TCP DST PORT,HDR_LEN,SEQ,WINDOW_SIZE,LABEL
443,35506,20,248866,65535,HTTP
44170,443,20,970,31088,HTTP
443,44170,20,280,65535,HTTP
443,44170,20,280,65535,HTTP
44170,443,20,1249,31088,HTTP
443,44170,20,373,65535,HTTP
443,35506,20,248866,65535,HTTP
443,35506,20,249079,65535,HTTP
443,35506,20,249693,65535,HTTP
443,35506,20,249732,65535,HTTP
443,35506,20,249770,65535,HTTP
35506,443,20,9667,65535,HTTP
35506,443,20,9667,65535,HTTP
443,35506,20,249816,65535,HTTP
35506,443,20,9713,65535,HTTP
443,35506,20,249816,65535,HTTP
34384,443,20,3425,65320,HTTP
35506,443,20,10109,65535,HTTP
443,34384,20,4596,65535,HTTP
443,35506,20,249816,65535,HTTP
443,34384,20,4596,65535,HTTP
443,34384,20,4788,65535,HTTP
443,34384,20,4826,65535,HTTP
443,35506,20,249816,65535,HTTP
443,35506,20,250002,65535,HTTP
34384,443,20,3609,65320,HTTP
34384,443,20,3609,65320,HTTP
35506,443,20,10147,65535,HTTP
443,34384,20,4872,65535,HTTP
35506,443,20,10147,65535,HTTP
443,35506,20,250048,65535,HTTP
34384,443,20,3655,65320,HTTP
443,34384,20,4872,65535,HTTP
443,34384,20,4872,65535,HTTP
443,34384,20,5109,65535,HTTP
34384,443,20,3811,65320,HTTP
34384,443,20,3811,65320,HTTP
443,34384,20,5155,65535,HTTP
56864,443,20,1696,53960,HTTP
443,56864,20,1776,65535,HTTP
443,56864,20,1776,65535,HTTP
443,56864,20,1993,65535,HTTP
56864,443,20,1851,56800,HTTP
443,56864,20,2031,65535,HTTP
56864,443,20,1851,56800,HTTP
443,56864,20,2077,65535,HTTP
34384,443,20,3857,65320,HTTP
443,34384,20,5155,65535,HTTP
443,34384,20,5155,65535,HTTP
443,34384,20,5372,65535,HTTP
34384,443,20,4054,65320,HTTP
443,34384,20,5410,65535,HTTP
34384,443,20,4054,65320,HTTP
443,34384,20,5456,65535,HTTP
34384,443,20,4100,65320,HTTP
443,34384,20,5456,65535,HTTP
443,34384,20,5456,65535,HTTP
443,34384,20,5677,65535,HTTP
34384,443,20,4280,65320,HTTP
443,34384,20,5715,65535,HTTP
34384,443,20,4280,65320,HTTP
443,34384,20,5761,65535,HTTP
56864,443,20,1897,56800,HTTP
443,56864,20,2077,65535,HTTP
443,56864,20,2077,65535,HTTP
443,56864,20,2153,65535,HTTP
56864,443,20,2073,56800,HTTP
443,56864,20,2191,65535,HTTP
56864,443,20,2073,56800,HTTP
443,56864,20,2237,65535,HTTP
35506,443,20,10193,65535,HTTP
443,35506,20,250048,65535,HTTP
443,35506,20,250048,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,251768,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,257079,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,259939,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,273720,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,275150,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,280870,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,282300,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,283730,65535,HTTP
443,35506,20,285160,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,286590,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,289450,65535,HTTP
443,35506,20,290461,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,291891,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,293321,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,294751,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,297611,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,299041,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,301901,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,307090,65535,HTTP
443,35506,20,307240,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,308670,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,310239,65535,HTTP
35506,443,20,10283,65535,HTTP
443,35506,20,310323,65535,HTTP
38124,443,20,533,31088,HTTP
443,38124,20,373,65535,HTTP
37534,443,20,741,31088,HTTP
443,37534,20,373,65535,HTTP
443,38124,20,373,65535,HTTP
38124,443,20,620,31088,HTTP
443,38124,20,466,65535,HTTP
443,37534,20,373,65535,HTTP
